No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Volume,Industry,Sector,Net Income,FCF,Net Cash,Rev. Growth
810,KARO,Karooooo Ltd.,1.32B,42.66,-0.88%,245.97M,"15,180",Software - Application,Technology,9.99%,48.85M,36.33M,19.07M
811,HIMX,"Himax Technologies, Inc.",1.32B,7.54,-2.96%,906.80M,"2,134,277",Semiconductors,Technology,-4.09%,79.76M,102.92M,-313.63M
812,VITL,"Vital Farms, Inc.",1.32B,29.72,-1.82%,606.31M,"879,666",Farm Products,Consumer Staples,28.49%,53.39M,36.18M,141.58M
813,TCBK,TriCo Bancshares,1.31B,39.87,-2.42%,389.19M,"97,283",Banks - Regional,Financials,-1.24%,114.87M,105.15M,-130.83M
814,EH,EHang Holdings Limited,1.31B,20.75,-6.49%,62.49M,"2,463,382",Aerospace & Defense,Industrials,288.46%,-31.48M,-,122.08M
815,NAVI,Navient Corporation,1.31B,12.82,-2.88%,848.00M,"466,607",Credit Services,Financials,-26.64%,131.00M,-,-47.82B
816,PLAB,"Photronics, Inc.",1.31B,20.60,-3.20%,862.75M,"638,657",Semiconductor Equipment & Materials,Technology,-3.85%,147.36M,175.57M,639.55M
817,XMTR,"Xometry, Inc.",1.30B,25.89,-2.67%,545.53M,"481,557",Specialty Industrial Machinery,Industrials,17.72%,-50.40M,-33.48M,-55.30M
818,PLUG,Plug Power Inc.,1.30B,1.340,-6.94%,628.81M,"71,458,652",Electrical Equipment & Parts,Industrials,-29.45%,-2.10B,-1.06B,-872.94M
819,PZZA,"Papa John's International, Inc.",1.30B,39.84,-2.88%,2.06B,"826,633",Restaurants,Consumer Discretionary,-3.57%,83.32M,34.15M,-933.50M
820,DXPE,"DXP Enterprises, Inc.",1.30B,82.88,-0.06%,1.80B,"121,726",Industrial Distribution,Industrials,7.35%,70.40M,77.14M,-544.42M
821,SPT,"Sprout Social, Inc.",1.30B,22.52,-4.21%,405.91M,"543,723",Software - Application,Technology,21.66%,-61.97M,23.37M,46.89M
822,DSGR,"Distribution Solutions Group, Inc.",1.30B,27.91,-1.03%,1.80B,"36,928",Industrial Distribution,Industrials,14.88%,-7.33M,17.41M,-764.61M
823,DYN,"Dyne Therapeutics, Inc.",1.30B,11.45,-2.97%,-,"1,111,023",Biotechnology,Healthcare,-,-317.42M,-294.75M,618.28M
824,LZMH,LZ Technology Holdings Limited,1.29B,8.51,4.16%,113.86M,"36,156",Advertising Agencies,Communication Services,166.01%,-816.72K,-1.14M,-4.59M
825,RDFN,Redfin Corporation,1.29B,10.21,-0.10%,1.04B,"3,497,615",Real Estate Services,Real Estate,6.79%,-165.87M,-43.52M,-866.80M
826,GO,Grocery Outlet Holding Corp.,1.29B,13.25,2.16%,4.37B,"2,320,180",Grocery Stores,Consumer Staples,10.13%,39.47M,-74.65M,-1.59B
827,LQDA,Liquidia Corporation,1.29B,15.09,-0.98%,14.00M,"571,602",Biotechnology,Healthcare,-19.97%,-130.39M,-98.37M,54.09M
828,SONO,"Sonos, Inc.",1.28B,10.78,-3.84%,1.46B,"1,156,120",Consumer Electronics,Technology,-8.74%,-68.86M,8.40M,263.70M
829,TNDM,"Tandem Diabetes Care, Inc.",1.28B,19.28,-2.68%,940.20M,"856,610",Medical Devices,Healthcare,25.74%,-96.03M,4.99M,-40.04M
830,SGML,Sigma Lithium Corporation,1.28B,11.50,-0.35%,142.75M,"564,747",Other Industrial Metals & Mining,Materials,48.43%,-52.59M,2.15M,-118.73M
831,HTZ,"Hertz Global Holdings, Inc.",1.28B,4.160,-1.65%,9.05B,"12,469,516",Rental & Leasing Services,Industrials,-3.44%,-2.86B,-727.00M,-17.81B
832,APLD,Applied Digital Corporation,1.28B,5.72,-6.23%,211.62M,"25,457,358",Information Technology Services,Technology,84.57%,-270.93M,-445.24M,-513.17M
833,OCSL,Oaktree Specialty Lending Corporation,1.27B,15.50,-0.70%,370.33M,"626,550",Asset Management,Financials,-6.98%,54.61M,-,-1.49B
834,NYAX,Nayax Ltd.,1.26B,33.90,-3.20%,314.01M,"2,885",Software - Infrastructure,Technology,33.34%,-5.63M,39.82M,15.48M
835,LILA,Liberty Latin America Ltd.,1.26B,6.42,-5.80%,4.46B,"142,097",Telecom Services,Communication Services,-1.20%,-657.00M,215.90M,-7.93B
836,PCT,"PureCycle Technologies, Inc.",1.26B,7.02,-4.88%,-,"2,425,744",Pollution & Treatment Controls,Industrials,-,-289.14M,-200.41M,-407.17M
837,HOPE,"Hope Bancorp, Inc.",1.26B,10.42,-2.07%,457.65M,"729,915",Banks - Regional,Financials,-15.23%,99.63M,106.91M,60.32M
838,RBCAA,"Republic Bancorp, Inc.",1.26B,64.45,-2.57%,330.43M,"15,354",Banks - Regional,Financials,6.29%,101.37M,143.19M,-103.64M
839,NVEE,"NV5 Global, Inc.",1.26B,19.25,-0.41%,941.27M,"662,113",Engineering & Construction,Industrials,9.81%,27.98M,40.40M,-236.88M
840,LILAK,Liberty Latin America Ltd.,1.25B,6.33,-5.66%,4.46B,"469,041",Telecom Services,Communication Services,-1.20%,-657.00M,215.90M,-7.93B
841,SASR,"Sandy Spring Bancorp, Inc.",1.25B,27.60,-3.12%,392.25M,"224,326",Banks - Regional,Financials,-10.69%,19.90M,67.56M,-704.35M
842,NEO,"NeoGenomics, Inc.",1.24B,9.62,1.48%,660.57M,"1,966,531",Diagnostics & Research,Healthcare,11.65%,-78.73M,-34.04M,-218.49M
843,BUSE,First Busey Corporation,1.24B,21.69,-3.13%,453.70M,"409,806",Banks - Regional,Financials,3.25%,113.69M,171.84M,200.74M
844,ACDC,ProFrac Holding Corp.,1.23B,7.71,-5.98%,2.19B,"331,906",Oil & Gas Equipment & Services,Energy,-16.70%,-219.90M,112.30M,-1.26B
845,HELE,Helen of Troy Limited,1.23B,54.02,-0.07%,1.91B,"310,864",Household & Personal Products,Consumer Staples,-4.47%,115.57M,122.73M,-730.30M
846,TASK,"TaskUs, Inc.",1.23B,13.70,-0.44%,994.99M,"217,703",Information Technology Services,Technology,7.64%,45.87M,99.78M,-113.03M
847,INMD,InMode Ltd.,1.23B,17.70,-3.28%,394.82M,"1,447,081",Medical Devices,Healthcare,-19.76%,181.28M,132.00M,588.65M
848,SPRY,"ARS Pharmaceuticals, Inc.",1.23B,12.49,-1.11%,89.15M,"1,173,934",Biotechnology,Healthcare,"297,063.33%",8.00M,12.99M,244.60M
849,MFIC,MidCap Financial Investment Corporation,1.22B,13.04,-1.51%,301.78M,"466,091",Asset Management,Financials,9.14%,98.82M,-,-1.68B
850,LOT,Lotus Technology Inc.,1.22B,1.800,-2.70%,1.01B,"114,375",Auto Manufacturers,Consumer Discretionary,213.08%,-901.28M,-,-1.01B
851,BLFS,"BioLife Solutions, Inc.",1.22B,25.96,-0.80%,82.25M,"337,642",Medical Instruments & Supplies,Healthcare,8.44%,-20.18M,3.14M,79.04M
852,HUT,Hut 8 Corp.,1.22B,11.72,-5.94%,162.39M,"2,857,489",Capital Markets,Financials,69.07%,331.88M,-192.53M,-260.61M
853,QCRH,"QCR Holdings, Inc.",1.22B,71.96,-1.85%,330.22M,"42,793",Banks - Regional,Financials,-2.06%,113.85M,400.05M,-255.96M
854,IMKT.A,"Ingles Markets, Incorporated",1.21B,63.79,-1.19%,5.45B,"79,240",-,-,-7.38%,78.74M,17.90M,-288.91M
855,IMKTA,"Ingles Markets, Incorporated",1.21B,63.79,-1.19%,5.45B,"76,554",Grocery Stores,Consumer Staples,-7.38%,78.74M,17.90M,-288.91M
856,DCOM,"Dime Community Bancshares, Inc.",1.21B,27.65,-2.05%,277.99M,"185,882",Banks - Regional,Financials,-20.58%,21.42M,92.80M,312.40M
857,OCUL,"Ocular Therapeutix, Inc.",1.21B,7.58,-2.19%,63.72M,"991,071",Biotechnology,Healthcare,9.03%,-193.51M,-135.97M,316.32M
858,ARHS,"Arhaus, Inc.",1.20B,8.57,-8.64%,1.27B,"3,049,788",Specialty Retail,Consumer Discretionary,-1.29%,68.55M,39.74M,-297.05M
859,UNIT,Uniti Group Inc.,1.20B,4.930,1.86%,1.17B,"2,065,055",REIT - Specialty,Real Estate,1.49%,91.31M,-,-5.73B
860,KMTS,"Kestra Medical Technologies, Ltd.",1.20B,23.43,-2.46%,45.82M,"195,839",Medical Devices,Healthcare,264.54%,-93.67M,-86.92M,30.82M
861,GIII,"G-III Apparel Group, Ltd.",1.19B,27.22,-0.44%,3.18B,"574,290",Apparel Manufacturing,Consumer Discretionary,2.67%,193.57M,-,-96.24M
862,NMFC,New Mountain Finance Corporation,1.19B,11.07,-0.27%,371.67M,"505,465",Asset Management,Financials,-0.85%,113.44M,-,-1.76B
863,SEZL,Sezzle Inc.,1.19B,210.99,-6.43%,271.13M,"107,218",Credit Services,Financials,70.14%,78.52M,40.83M,-31.73M
864,FLYW,Flywire Corporation,1.19B,9.60,-3.52%,492.14M,"1,323,010",Software - Infrastructure,Technology,22.09%,2.90M,90.54M,607.56M
865,INDV,Indivior PLC,1.19B,9.56,-2.45%,1.19B,"733,992",Drug Manufacturers - Specialty & Generic,Healthcare,8.69%,-48.00M,-6.00M,-54.00M
866,UDMY,"Udemy, Inc.",1.18B,8.02,-3.02%,786.57M,"673,511",Education & Training Services,Consumer Staples,7.91%,-85.29M,50.74M,343.62M
867,SABR,Sabre Corporation,1.18B,3.060,-6.42%,3.03B,"7,070,201",Software - Infrastructure,Technology,4.19%,-278.76M,-13.55M,-4.41B
868,VECO,Veeco Instruments Inc.,1.18B,20.38,-2.53%,717.30M,"572,203",Semiconductor Equipment & Materials,Technology,7.63%,73.71M,45.70M,30.04M
869,ETNB,"89bio, Inc.",1.18B,8.08,-9.82%,-,"1,869,240",Biotechnology,Healthcare,-,-367.08M,-367.84M,402.41M
870,CRAI,"CRA International, Inc.",1.18B,173.40,-1.54%,687.41M,"25,446",Consulting Services,Industrials,10.17%,46.53M,33.11M,-76.53M
871,VRDN,"Viridian Therapeutics, Inc.",1.18B,14.44,-1.57%,302.00K,"546,107",Biotechnology,Healthcare,-3.82%,-208.56M,-232.83M,694.47M
872,ARDX,"Ardelyx, Inc.",1.18B,4.930,-4.09%,333.62M,"3,500,213",Biotechnology,Healthcare,168.06%,-39.14M,-45.82M,71.14M
873,SAFT,"Safety Insurance Group, Inc.",1.17B,79.16,-0.48%,1.12B,"30,673",Insurance - Property & Casualty,Financials,20.31%,70.42M,124.32M,13.24M
874,INOD,Innodata Inc.,1.17B,37.39,-6.13%,170.46M,"1,119,487",Information Technology Services,Technology,96.44%,28.66M,27.27M,42.24M
875,IOVA,"Iovance Biotherapeutics, Inc.",1.17B,3.560,-1.93%,164.07M,"8,142,050",Biotechnology,Healthcare,"13,698.99%",-372.18M,-364.05M,265.52M
876,ESTA,Establishment Labs Holdings Inc.,1.17B,40.43,-0.52%,166.03M,"247,374",Medical Devices,Healthcare,0.53%,-84.60M,-67.04M,-134.95M
877,COMM,"CommScope Holding Company, Inc.",1.16B,5.37,-3.07%,4.21B,"3,923,771",Communication Equipment,Technology,-7.87%,-380.70M,247.80M,-8.82B
878,QUBT,Quantum Computing Inc.,1.16B,8.45,6.42%,373.00K,"18,957,426",Computer Hardware,Technology,4.19%,-68.54M,-,77.76M
879,CCEC,Capital Clean Energy Carriers Corp.,1.16B,19.79,2.27%,369.41M,"8,001",Marine Shipping,Industrials,2.45%,145.90M,-960.68M,-2.26B
880,PCRX,"Pacira BioSciences, Inc.",1.15B,24.91,-1.54%,700.97M,"586,571",Drug Manufacturers - Specialty & Generic,Healthcare,3.85%,-99.56M,178.75M,-154.24M
881,EVO,Evotec SE,1.15B,3.310,-0.30%,866.67M,"22,789",Drug Manufacturers - Specialty & Generic,Healthcare,-5.33%,-191.13M,-219.34M,-186.01M
882,TILE,"Interface, Inc.",1.15B,19.75,-3.09%,1.32B,"398,192","Furnishings, Fixtures & Appliances",Consumer Discretionary,4.29%,86.95M,114.64M,-292.37M
883,IGIC,International General Insurance Holdings Ltd.,1.14B,25.88,-2.45%,539.00M,"72,835",Insurance - Diversified,Financials,7.95%,133.20M,-,155.20M
884,OPK,"OPKO Health, Inc.",1.14B,1.700,-2.30%,713.14M,"2,933,769",Diagnostics & Research,Healthcare,-17.41%,-53.22M,-208.50M,-77.86M
885,ADPT,Adaptive Biotechnologies Corporation,1.14B,7.67,-6.69%,178.96M,"1,536,550",Biotechnology,Healthcare,5.10%,-159.49M,-98.88M,33.29M
886,INVA,"Innoviva, Inc.",1.14B,18.18,1.68%,358.71M,"803,663",Biotechnology,Healthcare,15.54%,23.39M,188.42M,-108.13M
887,AUPH,Aurinia Pharmaceuticals Inc.,1.14B,8.29,-2.01%,235.13M,"842,822",Biotechnology,Healthcare,33.97%,5.75M,44.11M,279.07M
888,HLIT,Harmonic Inc.,1.14B,9.71,-0.61%,678.72M,"1,174,866",Communication Equipment,Technology,11.65%,39.22M,52.73M,-46.86M
889,MSEX,Middlesex Water Company,1.14B,63.48,2.47%,191.88M,"178,101",Utilities - Regulated Water,Utilities,15.40%,44.24M,-15.89M,-382.34M
890,CLMT,"Calumet, Inc.",1.13B,13.16,-2.16%,4.19B,"1,170,933",Specialty Chemicals,Materials,0.20%,-222.00M,-123.10M,-2.34B
891,SNDX,"Syndax Pharmaceuticals, Inc.",1.13B,13.18,-2.80%,23.68M,"803,815",Biotechnology,Healthcare,-,-318.76M,-274.90M,237.17M
892,GPCR,Structure Therapeutics Inc.,1.13B,19.77,-0.85%,-,"439,671",Biotechnology,Healthcare,-,-122.53M,-117.93M,879.66M
893,CSWC,Capital Southwest Corporation,1.13B,22.37,-1.26%,198.46M,"603,989",Asset Management,Financials,17.51%,66.46M,-261.90M,-889.68M
894,GOGO,Gogo Inc.,1.13B,8.61,-1.15%,444.71M,"1,446,924",Telecom Services,Communication Services,11.86%,13.75M,27.92M,-863.80M
895,NVAX,"Novavax, Inc.",1.13B,7.00,-3.58%,682.16M,"2,776,448",Biotechnology,Healthcare,-30.65%,-187.50M,-100.32M,659.65M
896,CMPR,Cimpress plc,1.12B,45.19,-0.24%,3.36B,"246,184",Specialty Business Services,Industrials,4.60%,159.53M,250.03M,-1.48B
897,TXG,"10x Genomics, Inc.",1.12B,9.16,-2.66%,610.79M,"2,569,744",Health Information Services,Healthcare,-1.28%,-182.63M,-5.73M,310.79M
898,CMPO,"CompoSecure, Inc.",1.12B,10.94,-3.10%,420.57M,"599,383",Metal Fabrication,Industrials,7.67%,-53.72M,122.14M,-124.18M
899,WINA,Winmark Corporation,1.12B,315.00,-2.18%,81.29M,"21,775",Specialty Retail,Consumer Discretionary,-2.35%,39.95M,41.96M,-51.49M
900,MRTN,"Marten Transport, Ltd.",1.11B,13.68,-2.15%,963.71M,"336,010",Trucking,Industrials,-14.83%,26.92M,-98.42M,16.69M
901,MDXG,"MiMedx Group, Inc.",1.11B,7.54,-2.58%,348.88M,"472,191",Biotechnology,Healthcare,8.52%,42.42M,64.51M,79.57M
902,VRNT,Verint Systems Inc.,1.11B,17.85,-4.70%,909.19M,"1,451,756",Software - Infrastructure,Technology,-0.13%,64.99M,142.11M,-232.26M
903,PFBC,Preferred Bank,1.11B,83.98,-1.70%,274.09M,"100,426",Banks - Regional,Financials,-0.54%,130.66M,-,620.06M
904,DAVE,Dave Inc.,1.11B,84.55,-4.19%,347.08M,"402,845",Software - Application,Technology,33.96%,57.87M,124.88M,14.73M
905,BGM,BGM Group Ltd.,1.10B,11.35,-0.53%,25.10M,"1,961",Drug Manufacturers - Specialty & Generic,Healthcare,-45.99%,-1.44M,-2.31M,18.14M
906,CRCT,"Cricut, Inc.",1.10B,5.16,-1.15%,712.54M,"185,243",Computer Hardware,Technology,-6.88%,62.83M,246.63M,321.71M
907,PLSE,"Pulse Biosciences, Inc.",1.09B,16.60,6.00%,-,"471,692",Medical Instruments & Supplies,Healthcare,-,-53.59M,-,109.14M
908,ULCC,"Frontier Group Holdings, Inc.",1.09B,4.800,-6.07%,3.78B,"5,662,648",Airlines,Industrials,5.18%,84.00M,-158.00M,-3.73B
909,FBYD,"Falcon's Beyond Global, Inc.",1.08B,8.41,-0.59%,7.53M,"8,611",Conglomerates,Industrials,-62.38%,-392.32M,-15.77M,-35.09M
910,SYRE,"Spyre Therapeutics, Inc.",1.08B,17.94,1.41%,-,"606,268",Biotechnology,Healthcare,-,-149.56M,-157.41M,603.09M
911,RXST,"RxSight, Inc.",1.08B,26.56,-0.41%,139.93M,"521,765",Medical Devices,Healthcare,57.09%,-27.46M,-22.39M,224.93M
912,BBSI,"Barrett Business Services, Inc.",1.06B,41.21,-1.44%,1.14B,"101,672",Staffing & Employment Services,Industrials,7.04%,52.99M,-4.07M,100.41M
913,WLFC,Willis Lease Finance Corporation,1.06B,160.16,-4.47%,557.54M,"53,637",Rental & Leasing Services,Industrials,36.04%,104.38M,-390.55M,-2.25B
914,BLBD,Blue Bird Corporation,1.06B,32.93,-3.03%,1.34B,"303,098",Farm & Heavy Construction Machinery,Industrials,10.59%,108.12M,120.35M,41.85M
915,DGII,Digi International Inc.,1.05B,28.49,-2.33%,421.82M,"148,512",Communication Equipment,Technology,-4.49%,35.64M,91.63M,-82.65M
916,GERN,Geron Corporation,1.05B,1.650,-,76.99M,"16,132,827",Biotechnology,Healthcare,"32,386.92%",-174.57M,-219.30M,379.37M
917,FSUN,FirstSun Capital Bancorp,1.05B,37.75,-1.95%,359.15M,"26,080",Banks - Regional,Financials,1.38%,75.63M,95.71M,-220.95M
918,AVAH,Aveanna Healthcare Holdings Inc.,1.05B,5.37,-2.72%,2.02B,"138,565",Medical Care Facilities,Healthcare,6.82%,-10.93M,26.32M,-1.42B
919,WULF,TeraWulf Inc.,1.04B,2.720,-7.17%,140.05M,"31,173,309",Capital Markets,Financials,102.30%,-72.42M,-292.36M,-217.18M
920,PEBO,Peoples Bancorp Inc.,1.04B,29.77,-1.55%,565.39M,"98,602",Banks - Regional,Financials,17.02%,116.19M,136.37M,-223.15M
921,SBGI,"Sinclair, Inc.",1.04B,15.63,-0.26%,3.55B,"608,200",Broadcasting,Communication Services,13.21%,310.00M,14.00M,-3.58B
922,MOMO,Hello Group Inc.,1.04B,6.32,-3.95%,1.45B,"759,357",Internet Content & Information,Communication Services,-11.99%,142.42M,186.47M,214.78M
923,WBTN,WEBTOON Entertainment Inc.,1.04B,8.04,-5.30%,1.35B,"304,397",Internet Content & Information,Communication Services,5.12%,-143.78M,15.48M,573.49M
924,ELVN,"Enliven Therapeutics, Inc.",1.03B,21.07,-2.05%,-,"171,864",Biotechnology,Healthcare,-,-89.02M,-73.24M,313.44M
925,APOG,"Apogee Enterprises, Inc.",1.02B,46.67,-1.83%,1.38B,"173,110",Building Products & Equipment,Industrials,-1.58%,98.30M,129.11M,-296.58M
926,FWRG,"First Watch Restaurant Group, Inc.",1.02B,16.86,-2.94%,1.02B,"446,823",Restaurants,Consumer Discretionary,13.95%,18.93M,-12.28M,-776.24M
927,TTGT,"TechTarget, Inc.",1.02B,14.30,-5.30%,260.75M,"241,541",Information Technology Services,Technology,31.84%,-61.64M,-49.85M,-533.43M
928,OCS,Oculis Holding AG,1.02B,19.18,-1.13%,757.02K,"35,276",Biotechnology,Healthcare,-22.31%,-94.66M,-54.16M,107.58M
929,QNST,"QuinStreet, Inc.",1.01B,17.92,-4.07%,928.72M,"298,099",Advertising Agencies,Communication Services,68.99%,-12.13M,42.37M,48.67M
930,FOXF,Fox Factory Holding Corp.,1.01B,24.26,-5.75%,1.39B,"551,866",Auto Parts,Consumer Discretionary,-4.80%,6.55M,87.79M,-738.24M
931,BFC,Bank First Corporation,1.01B,101.16,-2.18%,158.25M,"15,013",Banks - Regional,Financials,-11.60%,65.21M,58.62M,112.38M
932,EYE,"National Vision Holdings, Inc.",1.01B,12.82,-3.32%,1.82B,"1,312,196",Specialty Retail,Consumer Discretionary,3.81%,-28.50M,38.14M,-742.08M
933,AMSF,"AMERISAFE, Inc.",1.00B,52.67,-0.59%,309.11M,"52,631",Insurance - Specialty,Financials,0.72%,55.44M,23.35M,43.62M
934,OCFC,OceanFirst Financial Corp.,996.74M,17.06,-1.10%,375.23M,"241,088",Banks - Regional,Financials,-2.71%,96.05M,84.68M,-1.22B
935,TBLA,Taboola.com Ltd.,995.73M,2.960,-2.31%,1.77B,"1,830,328",Internet Content & Information,Communication Services,22.68%,-3.76M,149.18M,49.47M
936,CDNA,"CareDx, Inc",995.45M,17.96,-2.13%,333.79M,"321,081",Diagnostics & Research,Healthcare,19.07%,52.55M,31.56M,232.29M
937,TRIN,Trinity Capital Inc.,994.62M,15.83,-1.43%,226.73M,"780,918",Asset Management,Financials,29.68%,115.60M,-317.33M,-875.09M
938,UCTT,"Ultra Clean Holdings, Inc.",993.36M,22.01,-5.01%,2.10B,"502,866",Semiconductor Equipment & Materials,Technology,20.93%,23.70M,1.50M,-346.40M
939,NNE,NANO Nuclear Energy Inc.,992.35M,26.77,-5.24%,-,"1,634,788",Specialty Industrial Machinery,Industrials,-,-11.95M,-12.30M,124.94M
940,KALU,Kaiser Aluminum Corporation,990.29M,62.09,-4.34%,3.02B,"120,891",Aluminum,Materials,-2.04%,46.80M,-13.70M,-1.07B
941,HSTM,"HealthStream, Inc.",974.81M,32.03,-0.19%,291.65M,"81,259",Health Information Services,Healthcare,4.51%,20.01M,56.26M,77.05M
942,LQDT,"Liquidity Services, Inc.",974.32M,31.39,0.67%,414.32M,"193,392",Internet Retail,Consumer Discretionary,32.16%,23.89M,57.96M,125.59M
943,BRKL,"Brookline Bancorp, Inc.",972.13M,10.91,-1.89%,333.56M,"252,258",Banks - Regional,Financials,0.04%,68.72M,99.97M,-1.50B
944,TSAT,Telesat Corporation,963.03M,19.08,-7.29%,396.88M,"116,382",Communication Equipment,Technology,-18.90%,-60.97M,-731.95M,-1.77B
945,EVER,"EverQuote, Inc.",960.26M,26.88,-4.31%,500.19M,"913,765",Internet Content & Information,Communication Services,73.73%,32.17M,62.45M,98.49M
946,CRSR,"Corsair Gaming, Inc.",955.23M,9.11,-5.79%,1.32B,"565,244",Computer Hardware,Technology,-9.83%,-99.18M,26.03M,-130.03M
947,TRS,TriMas Corporation,946.81M,23.33,0.47%,925.01M,"329,264",Packaging & Containers,Consumer Discretionary,3.52%,24.25M,12.82M,-422.69M
948,ALGT,Allegiant Travel Company,943.64M,53.22,-3.06%,2.51B,"266,460",Airlines,Industrials,0.11%,-240.86M,3.25M,-1.37B
949,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,942.14M,2.890,-1.37%,1.17B,"321,628",Internet Retail,Consumer Discretionary,82.39%,-52.14M,120.31M,188.06M
950,SLRC,SLR Investment Corp.,935.61M,17.15,-0.35%,232.43M,"215,645",Asset Management,Financials,1.36%,95.76M,-,-617.42M
951,COLL,"Collegium Pharmaceutical, Inc.",935.43M,29.71,0.51%,631.45M,"240,749",Drug Manufacturers - Specialty & Generic,Healthcare,11.41%,69.19M,203.33M,-817.15M
952,HROW,"Harrow, Inc.",934.50M,26.21,-5.96%,199.61M,"1,692,870",Drug Manufacturers - Specialty & Generic,Healthcare,53.32%,-17.48M,-23.80M,-178.17M
953,PENG,"Penguin Solutions, Inc.",930.46M,17.46,-4.33%,1.24B,"706,115",Information Technology Services,Technology,-6.50%,-27.33M,42.91M,-330.58M
954,MXL,"MaxLinear, Inc.",930.12M,10.99,-7.96%,360.53M,"1,506,950",Semiconductors,Technology,-48.00%,-245.20M,-62.98M,-30.79M
955,BELFB,Bel Fuse Inc.,927.49M,74.20,-4.01%,534.79M,"92,117",Electronic Components,Technology,-16.41%,40.96M,59.96M,-250.44M
956,CNOB,"ConnectOne Bancorp, Inc.",925.99M,24.20,-1.26%,250.27M,"251,239",Banks - Regional,Financials,-4.08%,67.57M,56.91M,-391.00M
957,RDWR,Radware Ltd.,923.05M,21.98,-2.44%,274.88M,"81,065",Software - Infrastructure,Technology,5.20%,6.04M,66.33M,287.04M
958,NRIX,"Nurix Therapeutics, Inc.",922.02M,12.15,-3.19%,54.55M,"623,286",Biotechnology,Healthcare,-29.15%,-193.57M,-181.86M,581.28M
959,CTBI,"Community Trust Bancorp, Inc.",921.20M,50.89,-1.96%,237.61M,"33,008",Banks - Regional,Financials,6.10%,82.81M,97.09M,-239.84M
960,SEDG,"SolarEdge Technologies, Inc.",919.76M,15.85,-0.50%,901.46M,"2,231,982",Solar,Technology,-69.72%,-1.81B,-421.48M,-132.24M
961,VIR,"Vir Biotechnology, Inc.",918.86M,6.70,0.45%,74.21M,"671,455",Biotechnology,Healthcare,-13.90%,-521.96M,-453.65M,807.46M
962,BELFA,Bel Fuse Inc.,913.21M,72.83,-3.28%,534.79M,"2,815",Electronic Components,Technology,-16.41%,40.96M,59.96M,-250.44M
963,GRAL,"GRAIL, Inc.",912.80M,26.93,-5.77%,125.60M,"948,178",Diagnostics & Research,Healthcare,34.90%,-2.03B,-582.36M,695.33M
964,FLNC,"Fluence Energy, Inc.",904.11M,4.980,-0.99%,2.52B,"3,459,170",Utilities - Renewable,Utilities,11.00%,-2.01M,-159.67M,210.40M
965,KRNT,Kornit Digital Ltd.,898.00M,19.50,-2.94%,203.83M,"142,954",Specialty Industrial Machinery,Industrials,-7.26%,-16.80M,33.59M,493.58M
966,EOSE,"Eos Energy Enterprises, Inc.",892.80M,3.940,-2.48%,15.61M,"3,474,225",Electrical Equipment & Parts,Industrials,-4.71%,-964.20M,-187.09M,-246.20M
967,CBRL,"Cracker Barrel Old Country Store, Inc.",890.98M,40.02,-3.15%,3.51B,"835,027",Restaurants,Consumer Discretionary,2.26%,35.99M,46.88M,-1.17B
968,DCBO,Docebo Inc.,889.86M,29.29,-5.33%,216.93M,"53,097",Software - Application,Technology,19.96%,26.74M,28.00M,91.05M
969,PTLO,Portillo's Inc.,887.77M,11.90,-4.42%,710.55M,"888,369",Restaurants,Consumer Discretionary,4.51%,29.52M,9.85M,-573.35M
970,HSII,"Heidrick & Struggles International, Inc.",887.42M,43.48,-1.38%,1.10B,"122,279",Staffing & Employment Services,Industrials,6.98%,8.73M,124.12M,462.72M
971,PRCH,"Porch Group, Inc.",887.27M,7.39,0.41%,437.85M,"2,736,104",Software - Application,Technology,1.75%,-32.83M,-32.21M,-215.03M
972,AMAL,Amalgamated Financial Corp.,880.73M,28.70,-2.48%,304.26M,"155,345",Banks - Regional,Financials,10.81%,106.43M,122.29M,-248.19M
973,AMWD,American Woodmark Corporation,877.47M,59.15,-3.29%,1.76B,"150,787","Furnishings, Fixtures & Appliances",Consumer Discretionary,-6.02%,100.69M,40.13M,-475.21M
974,OLPX,"Olaplex Holdings, Inc.",877.30M,1.320,-0.75%,422.67M,"3,277,570",Specialty Retail,Consumer Discretionary,-7.77%,19.52M,141.94M,-64.50M
975,STAA,STAAR Surgical Company,877.21M,17.79,1.25%,313.90M,"818,576",Medical Instruments & Supplies,Healthcare,-2.64%,-20.21M,-7.67M,191.75M
976,VMEO,"Vimeo, Inc.",877.01M,5.32,-2.92%,417.01M,"976,894",Software - Application,Technology,-0.05%,26.49M,56.64M,313.43M
977,ERII,"Energy Recovery, Inc.",876.54M,15.95,-1.42%,144.95M,"204,574",Pollution & Treatment Controls,Industrials,12.93%,23.05M,19.22M,66.70M
978,ATRO,Astronics Corporation,870.09M,24.67,-2.68%,795.43M,"636,698",Aerospace & Defense,Industrials,15.41%,-16.22M,22.14M,-184.72M
979,PAHC,Phibro Animal Health Corporation,869.21M,21.46,-1.01%,1.11B,"142,566",Drug Manufacturers - Specialty & Generic,Healthcare,12.63%,19.32M,15.33M,-716.78M
980,TIPT,Tiptree Inc.,867.02M,23.27,-2.14%,2.04B,"157,865",Insurance - Specialty,Financials,23.88%,52.95M,236.73M,-199.89M
